                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.3717,                0.99267,                0.94795,                0.40252,                 0.3351,                0.32871,                0.19287,                 1.3444,                0.98771,                0.96474,              0.0049015,              0.0049015,              0.0049015
                    105,                 1.3621,                0.98413,                 0.9456,                0.40531,                0.33268,                 0.3286,                0.19281,                 1.3447,                0.98853,                0.96509,               0.004852,               0.004852,               0.004852
                    106,                 1.3661,                0.98976,                0.94499,                0.40687,                0.33567,                0.32798,                0.19305,                 1.3456,                0.98784,                 0.9652,              0.0048025,              0.0048025,              0.0048025
                    107,                 1.3571,                0.97697,                0.94343,                0.41404,                0.32834,                0.32783,                0.19296,                 1.3445,                0.98772,                0.96462,               0.004753,               0.004753,               0.004753
                    108,                 1.3669,                0.98721,                0.94442,                0.43289,                0.31934,                0.32634,                0.19265,                 1.3438,                0.98709,                0.96413,              0.0047035,              0.0047035,              0.0047035
                    109,                 1.3608,                0.98329,                0.94188,                0.42268,                0.32565,                0.32676,                0.19272,                  1.342,                0.98814,                0.96369,               0.004654,               0.004654,               0.004654
                    110,                 1.3531,                0.97785,                0.94341,                0.41575,                0.33139,                0.32735,                0.19318,                 1.3419,                0.98735,                0.96358,              0.0046045,              0.0046045,              0.0046045
                    111,                 1.3597,                0.98207,                0.94283,                 0.4131,                0.33107,                0.32702,                 0.1929,                 1.3423,                0.98672,                0.96372,               0.004555,               0.004555,               0.004555
                    112,                 1.3654,                0.98348,                0.94377,                0.42889,                0.32714,                0.32679,                0.19216,                 1.3421,                0.98623,                0.96326,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.3509,                0.97833,                0.94387,                0.42941,                0.32468,                0.32616,                 0.1917,                 1.3421,                0.98656,                0.96367,               0.004456,               0.004456,               0.004456
                    114,                 1.3625,                0.98238,                0.94241,                0.42328,                0.32819,                0.32664,                 0.1925,                 1.3413,                0.98623,                0.96322,              0.0044065,              0.0044065,              0.0044065
                    115,                  1.356,                0.97222,                0.94305,                0.41658,                 0.3314,                 0.3271,                0.19281,                 1.3412,                0.98576,                0.96315,               0.004357,               0.004357,               0.004357
                    116,                 1.3558,                0.97819,                0.94311,                0.41782,                0.32703,                0.32662,                0.19233,                 1.3399,                0.98525,                0.96279,              0.0043075,              0.0043075,              0.0043075
                    117,                  1.352,                0.97269,                0.94007,                0.42143,                0.32619,                0.32621,                0.19234,                 1.3406,                0.98549,                0.96263,               0.004258,               0.004258,               0.004258
                    118,                 1.3528,                0.97199,                0.94112,                0.41652,                0.32805,                0.32625,                0.19249,                 1.3405,                 0.9848,                0.96258,              0.0042085,              0.0042085,              0.0042085
                    119,                 1.3551,                0.97518,                0.94118,                0.43502,                0.32192,                0.32693,                 0.1927,                 1.3411,                0.98509,                0.96282,               0.004159,               0.004159,               0.004159
                    120,                 1.3496,                0.96815,                0.94253,                0.43664,                0.32219,                0.32779,                0.19309,                 1.3407,                0.98431,                0.96302,              0.0041095,              0.0041095,              0.0041095
                    121,                 1.3466,                0.96853,                0.94077,                0.43075,                0.32429,                0.32818,                0.19377,                 1.3405,                0.98389,                0.96307,                0.00406,                0.00406,                0.00406
                    122,                  1.362,                0.97336,                0.94099,                0.42128,                0.33122,                0.32868,                0.19405,                 1.3403,                0.98302,                0.96265,              0.0040105,              0.0040105,              0.0040105
                    123,                  1.347,                0.96201,                0.94054,                0.42228,                0.33562,                 0.3287,                0.19375,                 1.3401,                0.98274,                0.96272,               0.003961,               0.003961,               0.003961
                    124,                 1.3531,                 0.9705,                0.94147,                0.41626,                0.33813,                0.32932,                0.19377,                 1.3397,                0.98242,                0.96238,              0.0039115,              0.0039115,              0.0039115
                    125,                 1.3484,                0.96463,                0.93931,                0.41665,                0.34116,                0.32883,                0.19355,                 1.3401,                0.98184,                0.96229,               0.003862,               0.003862,               0.003862
                    126,                 1.3506,                0.96388,                0.94027,                0.42357,                0.33848,                 0.3292,                0.19381,                 1.3399,                0.98133,                0.96242,              0.0038125,              0.0038125,              0.0038125
                    127,                 1.3557,                0.96798,                0.94142,                0.42814,                0.33538,                0.32895,                0.19346,                 1.3393,                0.98126,                0.96215,               0.003763,               0.003763,               0.003763
                    128,                 1.3449,                0.96196,                0.93868,                0.42488,                0.33306,                0.32953,                0.19407,                 1.3386,                0.98027,                0.96187,              0.0037135,              0.0037135,              0.0037135
                    129,                 1.3349,                0.95367,                0.93732,                0.43006,                0.33498,                0.33023,                0.19429,                 1.3381,                 0.9798,                 0.9617,               0.003664,               0.003664,               0.003664
